ISSN,全名,中文全名,年文章量,投稿难易度,初审周期,主页
0920-5691,international journal of computer vision,国际计算机视觉杂志,102,很难,"偏慢,4-8周",https://www.springer.com/computer/image+processing/journal/11263
0162-8828,ieee transactions on pattern analysis and machine intelligence,IEEE模式分析与机器智能汇刊,360,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=34
2168-2267,IEEE TRANSACTIONS ON CYBERNETICS,IEEE控制论汇刊,1077,较难,"超快,1-2周",https://www.ieee.org/membership-catalog/productdetail/showProductDetailPage.html?product=PER169-PRT
1063-6706,ieee transactions on fuzzy systems,模糊系统的IEEE汇刊,286,命中率约25%,平均12月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=91
1089-778X,ieee transactions on evolutionary computation,进化计算汇刊,61,较难,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4235
2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w
0893-6080,neural networks,神经网络,287,较难,"一般,3-6周",https://www.elsevier.com/journals/neural-networks/0893-6080
1566-2535,Information Fusion,信息融合,78,较难,"较慢,6-12周",https://www.journals.elsevier.com/information-fusion/
1556-603X,IEEE Computational Intelligence Magazine,IEEE计算智能杂志,23,较难,约稿?周期不定,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10207
1361-8415,medical image analysis,医学图像分析,444,命中率约25%,平均3月,https://www.elsevier.com/journals/medical-image-analysis/1361-8415
1057-7149,ieee transactions on image processing,IEEE图像处理汇刊,863,很难,"超快,1-2周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=83
1949-3045,IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,IEEE情感计算汇刊,45,,>12周，或约稿,https://www.computer.org/web/tac
0129-0657,international journal of neural systems,国际神经系统杂志,48,一般,>12周，或约稿,https://www.worldscientific.com/worldscinet/ijns
0950-7051,knowledge-based systems,基于知识的系统,371,命中率约32.5%,平均12.月,https://www.journals.elsevier.com/knowledge-based-systems/
0941-0643,neural computing & applications,神经计算与应用,411,命中率约75%,平均3月,https://www.ariessys.com/
0031-3203,pattern recognition,模式识别,775,命中率约25%,平均3月,https://www.journals.elsevier.com/pattern-recognition/
1568-4946,applied soft computing,应用软计算,622,命中率约25%,平均24月,https://www.elsevier.com/journals/applied-soft-computing/1568-4946
2210-6502,Swarm and Evolutionary Computation,群体与进化计算,59,,"较慢,6-12周",https://www.journals.elsevier.com/swarm-and-evolutionary-computation/
0269-2821,artificial intelligence review,人工智能综述,38,一般,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10462
0957-4174,expert systems with applications,具有应用程序的专家系统,1229,命中率约50%,平均15.月,https://www.elsevier.com/journals/expert-systems-with-applications/0957-4174
1069-2509,integrated computer-aided engineering,综合计算机辅助工程,26,一般,>12周，或约稿,https://content.iospress.com/journals/integrated-computer-aided-engineering/Preprint/Preprint
0956-5515,journal of intelligent manufacturing,智能制造杂志,284,较易,"一般,3-6周",https://www.springer.com/business+&+management/operations+research/journal/10845
0167-9236,decision support systems,决策支持系统,121,命中率约50%,平均3月,https://www.journals.elsevier.com/decision-support-systems/
1866-9956,Cognitive Computation,认知计算,90,,"较慢,6-12周",https://www.springer.com/biomed/neuroscience/journal/12559
0884-8173,international journal of intelligent systems,国际智能系统杂志,64,一般,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/1098111x
1474-0346,advanced engineering informatics,高级工程信息学,151,较难,"一般,3-8周",https://www.elsevier.com/journals/advanced-engineering-informatics/1474-0346
0925-2312,neurocomputing,神经计算,1118,命中率约31%,平均12.月,https://www.elsevier.com/journals/neurocomputing/0925-2312
0004-3702,artificial intelligence,人工智能,92,一般,"较慢,6-12周",https://www.elsevier.com/journals/artificial-intelligence/0004-3702
2157-6904,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,智能系统与技术交流会,82,命中率约50%,平均3月,https://tist.acm.org/
1943-0604,IEEE transactions on autonomous mental development,IEEE自主精神发展汇刊,0,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=7c5b12157&q=w
0933-3657,artificial intelligence in medicine,医学人工智能,167,容易,"一般,3-8周",https://www.journals.elsevier.com/artificial-intelligence-in-medicine/
0952-1976,engineering applications of artificial intelligence,人工智能的工程应用,1035,容易,"超快,1-2周",https://www.elsevier.com/journals/engineering-applications-of-artificial-intelligence/0952-1976
1041-4347,ieee transactions on knowledge and data engineering,IEEE知识与数据工程汇刊,383,较易,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=69
0169-7439,chemometrics and intelligent laboratory systems,化学计量学和智能实验室系统,1156,较易,"超快,1-2周",https://www.elsevier.com/journals/chemometrics-and-intelligent-laboratory-systems/0169-7439
1868-8071,International Journal of Machine Learning and Cybernetics,国际机器学习与控制论杂志,156,命中率约50%,平均2月,https://ij-healthgeographics.biomedcentral.com/
0921-8890,robotics and autonomous systems,机器人和自主系统,681,容易,"很快,2-3周",https://www.journals.elsevier.com/robotics-and-autonomous-systems/
1662-5218,Frontiers in Neurorobotics,神经机器人学的前沿,131,,"偏慢,4-8周",https://www.frontiersin.org/journals/neurorobotics
